timestamp;accelerometer_x;accelerometer_y;accelerometer_z;gyroscope_x;gyroscope_y;gyroscope_z;magnetometer_x;magnetometer_y;magnetometer_z;
no_units;no_units;no_units;no_units;no_units;no_units;no_units;no_units;no_units;no_units;
;-0.033661;0.5703;0.27615;1.2939;-0.18234;-0.65907;203.52;222.32;-378.33;
;-0.037506;0.56239;0.29552;1.4727;-0.18867;-0.82831;203.52;222.32;-378.33;
;-0.020523;0.55624;0.30563;1.6328;-0.18085;-1.0096;203.52;222.32;-378.33;
;0.031754;0.56256;0.30687;1.7617;-0.18956;-1.1987;203.52;222.32;-378.33;
;0.11304;0.60378;0.30009;1.8486;-0.22386;-1.3708;201.39;223.33;-381.09;
;0.19696;0.70534;0.32561;1.8955;-0.21256;-1.5006;201.39;223.33;-381.09;
;0.27113;0.84949;0.3717;1.8733;-0.12256;-1.5664;201.39;223.33;-381.09;
;0.31795;1.0013;0.43857;1.7706;0.042958;-1.5466;201.39;223.33;-381.09;
;0.33417;1.1459;0.52713;1.5535;0.2135;-1.4203;198.57;224.22;-384.71;
;0.32851;1.2638;0.63158;1.2011;0.35999;-1.1344;198.57;224.22;-384.71;
;0.32205;1.3323;0.745;0.73495;0.356;-0.65198;198.57;224.22;-384.71;
;0.36049;1.3417;0.76373;0.24461;-0.032786;-0.097319;198.57;224.22;-384.71;
;0.4583;1.277;0.64124;-0.22754;-0.67437;0.34956;196.58;224.5;-386.94;
